epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4900.42,1.27592,1.12884,1.32669,0.78078,0.825,0.85287,0.55153,1.29496,0.96019,1.37652,0.0011882,0.0011882,0.0011882
43,5008.9,1.30657,1.15498,1.34232,0.82221,0.75,0.85633,0.56751,1.2384,0.97769,1.35743,0.0011684,0.0011684,0.0011684
44,5117.04,1.31681,1.13658,1.33664,0.78544,0.82369,0.85407,0.54737,1.26264,1.01311,1.352,0.0011486,0.0011486,0.0011486
45,5225.79,1.37041,1.211,1.37215,0.84017,0.825,0.88496,0.59234,1.20223,0.92637,1.31615,0.0011288,0.0011288,0.0011288
46,5334.13,1.24247,1.07022,1.28811,0.81776,0.8,0.85512,0.57257,1.16938,0.95575,1.27639,0.001109,0.001109,0.001109
47,5442.63,1.26254,1.08225,1.2809,0.84225,0.86767,0.87764,0.58329,1.23036,0.83312,1.31887,0.0010892,0.0010892,0.0010892
48,5550.98,1.28125,1.06668,1.29038,0.82396,0.875,0.8933,0.59742,1.22067,0.86013,1.31219,0.0010694,0.0010694,0.0010694
49,5659.4,1.26908,1.07773,1.30063,0.83542,0.88833,0.91267,0.58968,1.21941,0.91071,1.3379,0.0010496,0.0010496,0.0010496
50,5769.5,1.27874,1.08054,1.31133,0.83384,0.8875,0.90373,0.57327,1.22585,0.89575,1.34576,0.0010298,0.0010298,0.0010298
51,5877.62,1.25745,1.10255,1.29059,0.90971,0.825,0.92671,0.61124,1.16747,0.81906,1.30069,0.00101,0.00101,0.00101
52,5994.68,1.25064,1.04449,1.2973,0.84765,0.90414,0.91854,0.61901,1.18591,0.83706,1.301,0.0009902,0.0009902,0.0009902
53,6103.47,1.16349,0.99472,1.2262,0.8766,0.88794,0.90988,0.62511,1.1637,0.80196,1.26019,0.0009704,0.0009704,0.0009704
54,6210.73,1.16087,0.9994,1.2269,0.90571,0.84052,0.94154,0.62064,1.1664,0.76919,1.27668,0.0009506,0.0009506,0.0009506
